k,points,radius,akurasi
1.0,8.0,4.0,50.0
3.0,8.0,4.0,47.5
5.0,8.0,4.0,37.5
7.0,8.0,4.0,37.5
9.0,8.0,4.0,42.5
1.0,8.0,5.0,62.5
3.0,8.0,5.0,47.5
5.0,8.0,5.0,47.5
7.0,8.0,5.0,37.5
9.0,8.0,5.0,40.0
1.0,8.0,6.0,60.0
3.0,8.0,6.0,57.5
5.0,8.0,6.0,52.5
7.0,8.0,6.0,47.5
9.0,8.0,6.0,40.0
1.0,8.0,7.0,47.5
3.0,8.0,7.0,52.5
5.0,8.0,7.0,50.0
7.0,8.0,7.0,47.5
9.0,8.0,7.0,47.5
1.0,8.0,8.0,52.5
3.0,8.0,8.0,40.0
5.0,8.0,8.0,45.0
7.0,8.0,8.0,42.5
9.0,8.0,8.0,37.5
1.0,8.0,9.0,65.0
3.0,8.0,9.0,50.0
5.0,8.0,9.0,45.0
7.0,8.0,9.0,47.5
9.0,8.0,9.0,40.0
1.0,8.0,10.0,62.5
3.0,8.0,10.0,47.5
5.0,8.0,10.0,55.0
7.0,8.0,10.0,47.5
9.0,8.0,10.0,35.0
1.0,8.0,11.0,60.0
3.0,8.0,11.0,47.5
5.0,8.0,11.0,52.5
7.0,8.0,11.0,37.5
9.0,8.0,11.0,40.0
1.0,8.0,12.0,47.5
3.0,8.0,12.0,40.0
5.0,8.0,12.0,37.5
7.0,8.0,12.0,32.5
9.0,8.0,12.0,27.5
1.0,8.0,13.0,60.0
3.0,8.0,13.0,45.0
5.0,8.0,13.0,47.5
7.0,8.0,13.0,47.5
9.0,8.0,13.0,47.5
1.0,8.0,14.0,60.0
3.0,8.0,14.0,42.5
5.0,8.0,14.0,45.0
7.0,8.0,14.0,42.5
9.0,8.0,14.0,50.0
1.0,8.0,15.0,50.0
3.0,8.0,15.0,52.5
5.0,8.0,15.0,57.5
7.0,8.0,15.0,47.5
9.0,8.0,15.0,47.5
1.0,8.0,16.0,65.0
3.0,8.0,16.0,62.5
5.0,8.0,16.0,60.0
7.0,8.0,16.0,52.5
9.0,8.0,16.0,45.0
1.0,8.0,17.0,60.0
3.0,8.0,17.0,55.0
5.0,8.0,17.0,52.5
7.0,8.0,17.0,50.0
9.0,8.0,17.0,50.0
1.0,8.0,18.0,70.0
3.0,8.0,18.0,55.0
5.0,8.0,18.0,52.5
7.0,8.0,18.0,52.5
9.0,8.0,18.0,50.0
1.0,8.0,19.0,65.0
3.0,8.0,19.0,57.5
5.0,8.0,19.0,45.0
7.0,8.0,19.0,42.5
9.0,8.0,19.0,45.0
1.0,8.0,20.0,55.0
3.0,8.0,20.0,60.0
5.0,8.0,20.0,47.5
7.0,8.0,20.0,47.5
9.0,8.0,20.0,45.0
1.0,12.0,4.0,57.5
3.0,12.0,4.0,52.5
5.0,12.0,4.0,50.0
7.0,12.0,4.0,50.0
9.0,12.0,4.0,45.0
1.0,12.0,5.0,55.0
3.0,12.0,5.0,65.0
5.0,12.0,5.0,57.5
7.0,12.0,5.0,60.0
9.0,12.0,5.0,60.0
1.0,12.0,6.0,57.5
3.0,12.0,6.0,57.5
5.0,12.0,6.0,62.5
7.0,12.0,6.0,65.0
9.0,12.0,6.0,52.5
1.0,12.0,7.0,70.0
3.0,12.0,7.0,65.0
5.0,12.0,7.0,62.5
7.0,12.0,7.0,60.0
9.0,12.0,7.0,57.5
1.0,12.0,8.0,62.5
3.0,12.0,8.0,65.0
5.0,12.0,8.0,60.0
7.0,12.0,8.0,62.5
9.0,12.0,8.0,52.5
1.0,12.0,9.0,65.0
3.0,12.0,9.0,52.5
5.0,12.0,9.0,57.5
7.0,12.0,9.0,45.0
9.0,12.0,9.0,40.0
1.0,12.0,10.0,62.5
3.0,12.0,10.0,65.0
5.0,12.0,10.0,60.0
7.0,12.0,10.0,52.5
9.0,12.0,10.0,45.0
1.0,12.0,11.0,75.0
3.0,12.0,11.0,65.0
5.0,12.0,11.0,62.5
7.0,12.0,11.0,52.5
9.0,12.0,11.0,45.0
1.0,12.0,12.0,77.5
3.0,12.0,12.0,57.5
5.0,12.0,12.0,57.5
7.0,12.0,12.0,60.0
9.0,12.0,12.0,55.0
1.0,12.0,13.0,80.0
3.0,12.0,13.0,57.5
5.0,12.0,13.0,52.5
7.0,12.0,13.0,47.5
9.0,12.0,13.0,47.5
1.0,12.0,14.0,75.0
3.0,12.0,14.0,60.0
5.0,12.0,14.0,55.0
7.0,12.0,14.0,55.0
9.0,12.0,14.0,55.0
1.0,12.0,15.0,75.0
3.0,12.0,15.0,67.5
5.0,12.0,15.0,65.0
7.0,12.0,15.0,65.0
9.0,12.0,15.0,65.0
1.0,12.0,16.0,70.0
3.0,12.0,16.0,65.0
5.0,12.0,16.0,62.5
7.0,12.0,16.0,65.0
9.0,12.0,16.0,57.5
1.0,12.0,17.0,75.0
3.0,12.0,17.0,70.0
5.0,12.0,17.0,65.0
7.0,12.0,17.0,60.0
9.0,12.0,17.0,55.0
1.0,12.0,18.0,77.5
3.0,12.0,18.0,57.5
5.0,12.0,18.0,60.0
7.0,12.0,18.0,55.0
9.0,12.0,18.0,57.5
1.0,12.0,19.0,77.5
3.0,12.0,19.0,67.5
5.0,12.0,19.0,55.0
7.0,12.0,19.0,50.0
9.0,12.0,19.0,47.5
1.0,12.0,20.0,80.0
3.0,12.0,20.0,72.5
5.0,12.0,20.0,62.5
7.0,12.0,20.0,50.0
9.0,12.0,20.0,47.5
1.0,16.0,4.0,67.5
3.0,16.0,4.0,52.5
5.0,16.0,4.0,60.0
7.0,16.0,4.0,42.5
9.0,16.0,4.0,42.5
1.0,16.0,5.0,67.5
3.0,16.0,5.0,65.0
5.0,16.0,5.0,52.5
7.0,16.0,5.0,50.0
9.0,16.0,5.0,45.0
1.0,16.0,6.0,67.5
3.0,16.0,6.0,75.0
5.0,16.0,6.0,72.5
7.0,16.0,6.0,67.5
9.0,16.0,6.0,62.5
1.0,16.0,7.0,62.5
3.0,16.0,7.0,65.0
5.0,16.0,7.0,62.5
7.0,16.0,7.0,70.0
9.0,16.0,7.0,65.0
1.0,16.0,8.0,70.0
3.0,16.0,8.0,57.5
5.0,16.0,8.0,67.5
7.0,16.0,8.0,45.0
9.0,16.0,8.0,47.5
1.0,16.0,9.0,65.0
3.0,16.0,9.0,65.0
5.0,16.0,9.0,60.0
7.0,16.0,9.0,47.5
9.0,16.0,9.0,47.5
1.0,16.0,10.0,70.0
3.0,16.0,10.0,62.5
5.0,16.0,10.0,50.0
7.0,16.0,10.0,50.0
9.0,16.0,10.0,52.5
1.0,16.0,11.0,70.0
3.0,16.0,11.0,65.0
5.0,16.0,11.0,60.0
7.0,16.0,11.0,52.5
9.0,16.0,11.0,47.5
1.0,16.0,12.0,85.0
3.0,16.0,12.0,67.5
5.0,16.0,12.0,62.5
7.0,16.0,12.0,50.0
9.0,16.0,12.0,47.5
1.0,16.0,13.0,82.5
3.0,16.0,13.0,62.5
5.0,16.0,13.0,60.0
7.0,16.0,13.0,57.5
9.0,16.0,13.0,50.0
1.0,16.0,14.0,85.0
3.0,16.0,14.0,72.5
5.0,16.0,14.0,60.0
7.0,16.0,14.0,52.5
9.0,16.0,14.0,52.5
1.0,16.0,15.0,80.0
3.0,16.0,15.0,80.0
5.0,16.0,15.0,75.0
7.0,16.0,15.0,70.0
9.0,16.0,15.0,60.0
1.0,16.0,16.0,87.5
3.0,16.0,16.0,75.0
5.0,16.0,16.0,72.5
7.0,16.0,16.0,65.0
9.0,16.0,16.0,50.0
1.0,16.0,17.0,82.5
3.0,16.0,17.0,72.5
5.0,16.0,17.0,77.5
7.0,16.0,17.0,65.0
9.0,16.0,17.0,60.0
1.0,16.0,18.0,80.0
3.0,16.0,18.0,60.0
5.0,16.0,18.0,57.5
7.0,16.0,18.0,55.0
9.0,16.0,18.0,52.5
1.0,16.0,19.0,82.5
3.0,16.0,19.0,62.5
5.0,16.0,19.0,57.5
7.0,16.0,19.0,52.5
9.0,16.0,19.0,50.0
1.0,16.0,20.0,85.0
3.0,16.0,20.0,70.0
5.0,16.0,20.0,62.5
7.0,16.0,20.0,55.0
9.0,16.0,20.0,52.5
1.0,20.0,4.0,67.5
3.0,20.0,4.0,50.0
5.0,20.0,4.0,50.0
7.0,20.0,4.0,50.0
9.0,20.0,4.0,37.5
1.0,20.0,5.0,57.5
3.0,20.0,5.0,45.0
5.0,20.0,5.0,45.0
7.0,20.0,5.0,45.0
9.0,20.0,5.0,40.0
1.0,20.0,6.0,75.0
3.0,20.0,6.0,70.0
5.0,20.0,6.0,80.0
7.0,20.0,6.0,62.5
9.0,20.0,6.0,57.5
1.0,20.0,7.0,72.5
3.0,20.0,7.0,67.5
5.0,20.0,7.0,67.5
7.0,20.0,7.0,70.0
9.0,20.0,7.0,65.0
1.0,20.0,8.0,67.5
3.0,20.0,8.0,62.5
5.0,20.0,8.0,57.5
7.0,20.0,8.0,50.0
9.0,20.0,8.0,52.5
1.0,20.0,9.0,70.0
3.0,20.0,9.0,67.5
5.0,20.0,9.0,62.5
7.0,20.0,9.0,57.5
9.0,20.0,9.0,52.5
1.0,20.0,10.0,77.5
3.0,20.0,10.0,72.5
5.0,20.0,10.0,67.5
7.0,20.0,10.0,62.5
9.0,20.0,10.0,57.5
1.0,20.0,11.0,67.5
3.0,20.0,11.0,67.5
5.0,20.0,11.0,60.0
7.0,20.0,11.0,57.5
9.0,20.0,11.0,60.0
1.0,20.0,12.0,80.0
3.0,20.0,12.0,70.0
5.0,20.0,12.0,60.0
7.0,20.0,12.0,50.0
