k,points,radius,akurasi
0.005,8.0,4.0,2.5
0.01,8.0,4.0,35.0
0.015,8.0,4.0,35.0
0.02,8.0,4.0,32.5
0.005,8.0,5.0,0.0
0.01,8.0,5.0,30.0
0.015,8.0,5.0,45.0
0.02,8.0,5.0,32.5
0.005,8.0,6.0,2.5
0.01,8.0,6.0,17.5
0.015,8.0,6.0,52.5
0.02,8.0,6.0,45.0
0.005,8.0,7.0,0.0
0.01,8.0,7.0,7.5
0.015,8.0,7.0,52.5
0.02,8.0,7.0,50.0
0.005,8.0,8.0,0.0
0.01,8.0,8.0,25.0
0.015,8.0,8.0,50.0
0.02,8.0,8.0,42.5
0.005,8.0,9.0,0.0
0.01,8.0,9.0,10.0
0.015,8.0,9.0,45.0
0.02,8.0,9.0,55.0
0.005,8.0,10.0,2.5
0.01,8.0,10.0,7.5
0.015,8.0,10.0,52.5
0.02,8.0,10.0,50.0
0.005,8.0,11.0,2.5
0.01,8.0,11.0,10.0
0.015,8.0,11.0,32.5
0.02,8.0,11.0,45.0
0.005,8.0,12.0,0.0
0.01,8.0,12.0,15.0
0.015,8.0,12.0,27.5
0.02,8.0,12.0,27.5
0.005,8.0,13.0,0.0
0.01,8.0,13.0,17.5
0.015,8.0,13.0,35.0
0.02,8.0,13.0,47.5
0.005,8.0,14.0,0.0
0.01,8.0,14.0,7.5
0.015,8.0,14.0,42.5
0.02,8.0,14.0,42.5
0.005,8.0,15.0,0.0
0.01,8.0,15.0,10.0
0.015,8.0,15.0,35.0
0.02,8.0,15.0,52.5
0.005,8.0,16.0,0.0
0.01,8.0,16.0,17.5
0.015,8.0,16.0,35.0
0.02,8.0,16.0,50.0
0.005,8.0,17.0,0.0
0.01,8.0,17.0,15.0
0.015,8.0,17.0,45.0
0.02,8.0,17.0,47.5
0.005,8.0,18.0,0.0
0.01,8.0,18.0,15.0
0.015,8.0,18.0,45.0
0.02,8.0,18.0,55.0
0.005,8.0,19.0,0.0
0.01,8.0,19.0,15.0
0.015,8.0,19.0,37.5
0.02,8.0,19.0,52.5
0.005,8.0,20.0,0.0
0.01,8.0,20.0,17.5
0.015,8.0,20.0,45.0
0.02,8.0,20.0,45.0
0.005,12.0,4.0,0.0
0.01,12.0,4.0,20.0
0.015,12.0,4.0,47.5
0.02,12.0,4.0,40.0
0.005,12.0,5.0,0.0
0.01,12.0,5.0,17.5
0.015,12.0,5.0,50.0
0.02,12.0,5.0,52.5
0.005,12.0,6.0,0.0
0.01,12.0,6.0,25.0
0.015,12.0,6.0,57.5
0.02,12.0,6.0,52.5
0.005,12.0,7.0,0.0
0.01,12.0,7.0,20.0
0.015,12.0,7.0,60.0
0.02,12.0,7.0,62.5
0.005,12.0,8.0,0.0
0.01,12.0,8.0,12.5
0.015,12.0,8.0,47.5
0.02,12.0,8.0,57.5
0.005,12.0,9.0,0.0
0.01,12.0,9.0,7.5
0.015,12.0,9.0,47.5
0.02,12.0,9.0,52.5
0.005,12.0,10.0,0.0
0.01,12.0,10.0,12.5
0.015,12.0,10.0,37.5
0.02,12.0,10.0,55.0
0.005,12.0,11.0,0.0
0.01,12.0,11.0,10.0
0.015,12.0,11.0,40.0
0.02,12.0,11.0,57.5
0.005,12.0,12.0,0.0
0.01,12.0,12.0,15.0
0.015,12.0,12.0,42.5
0.02,12.0,12.0,62.5
0.005,12.0,13.0,0.0
0.01,12.0,13.0,12.5
0.015,12.0,13.0,45.0
0.02,12.0,13.0,62.5
0.005,12.0,14.0,0.0
0.01,12.0,14.0,5.0
0.015,12.0,14.0,37.5
0.02,12.0,14.0,55.0
0.005,12.0,15.0,0.0
0.01,12.0,15.0,7.5
0.015,12.0,15.0,27.5
0.02,12.0,15.0,60.0
0.005,12.0,16.0,0.0
0.01,12.0,16.0,2.5
0.015,12.0,16.0,17.5
0.02,12.0,16.0,62.5
0.005,12.0,17.0,0.0
0.01,12.0,17.0,5.0
0.015,12.0,17.0,17.5
0.02,12.0,17.0,45.0
0.005,12.0,18.0,0.0
0.01,12.0,18.0,7.5
0.015,12.0,18.0,27.5
0.02,12.0,18.0,50.0
0.005,12.0,19.0,0.0
0.01,12.0,19.0,5.0
0.015,12.0,19.0,25.0
0.02,12.0,19.0,40.0
0.005,12.0,20.0,0.0
0.01,12.0,20.0,5.0
0.015,12.0,20.0,32.5
0.02,12.0,20.0,52.5
0.005,16.0,4.0,0.0
0.01,16.0,4.0,20.0
0.015,16.0,4.0,45.0
0.02,16.0,4.0,30.0
0.005,16.0,5.0,0.0
0.01,16.0,5.0,15.0
0.015,16.0,5.0,60.0
0.02,16.0,5.0,37.5
0.005,16.0,6.0,0.0
0.01,16.0,6.0,12.5
0.015,16.0,6.0,60.0
0.02,16.0,6.0,65.0
0.005,16.0,7.0,0.0
0.01,16.0,7.0,7.5
0.015,16.0,7.0,57.5
0.02,16.0,7.0,55.0
0.005,16.0,8.0,0.0
0.01,16.0,8.0,17.5
0.015,16.0,8.0,47.5
0.02,16.0,8.0,60.0
0.005,16.0,9.0,0.0
0.01,16.0,9.0,7.5
0.015,16.0,9.0,47.5
0.02,16.0,9.0,50.0
0.005,16.0,10.0,0.0
0.01,16.0,10.0,7.5
0.015,16.0,10.0,50.0
0.02,16.0,10.0,60.0
0.005,16.0,11.0,0.0
0.01,16.0,11.0,15.0
0.015,16.0,11.0,50.0
0.02,16.0,11.0,60.0
0.005,16.0,12.0,0.0
0.01,16.0,12.0,17.5
0.015,16.0,12.0,40.0
0.02,16.0,12.0,62.5
0.005,16.0,13.0,0.0
0.01,16.0,13.0,12.5
0.015,16.0,13.0,47.5
0.02,16.0,13.0,65.0
0.005,16.0,14.0,0.0
0.01,16.0,14.0,12.5
0.015,16.0,14.0,40.0
0.02,16.0,14.0,62.5
0.005,16.0,15.0,0.0
0.01,16.0,15.0,12.5
0.015,16.0,15.0,42.5
0.02,16.0,15.0,67.5
0.005,16.0,16.0,0.0
0.01,16.0,16.0,5.0
0.015,16.0,16.0,32.5
0.02,16.0,16.0,62.5
0.005,16.0,17.0,0.0
0.01,16.0,17.0,5.0
0.015,16.0,17.0,27.5
0.02,16.0,17.0,57.5
0.005,16.0,18.0,0.0
0.01,16.0,18.0,7.5
0.015,16.0,18.0,25.0
0.02,16.0,18.0,52.5
0.005,16.0,19.0,0.0
0.01,16.0,19.0,2.5
0.015,16.0,19.0,25.0
0.02,16.0,19.0,50.0
0.005,16.0,20.0,0.0
0.01,16.0,20.0,2.5
0.015,16.0,20.0,27.5
0.02,16.0,20.0,55.0
0.005,20.0,4.0,0.0
0.01,20.0,4.0,25.0
0.015,20.0,4.0,50.0
0.02,20.0,4.0,32.5
0.005,20.0,5.0,0.0
0.01,20.0,5.0,27.5
0.015,20.0,5.0,52.5
0.02,20.0,5.0,30.0
0.005,20.0,6.0,0.0
0.01,20.0,6.0,15.0
0.015,20.0,6.0,65.0
0.02,20.0,6.0,47.5
0.005,20.0,7.0,0.0
0.01,20.0,7.0,15.0
0.015,20.0,7.0,60.0
0.02,20.0,7.0,65.0
0.005,20.0,8.0,0.0
0.01,20.0,8.0,17.5
0.015,20.0,8.0,52.5
0.02,20.0,8.0,60.0
0.005,20.0,9.0,0.0
0.01,20.0,9.0,5.0
0.015,20.0,9.0,52.5
0.02,20.0,9.0,65.0
0.005,20.0,10.0,0.0
0.01,20.0,10.0,12.5
0.015,20.0,10.0,47.5
0.02,20.0,10.0,72.5
0.005,20.0,11.0,0.0
