k,points,radius,akurasi
1.0,8.0,4.0,59.09090909090909
3.0,8.0,4.0,50.0
5.0,8.0,4.0,59.09090909090909
7.0,8.0,4.0,59.09090909090909
9.0,8.0,4.0,59.09090909090909
1.0,8.0,5.0,72.72727272727273
3.0,8.0,5.0,72.72727272727273
5.0,8.0,5.0,68.18181818181819
7.0,8.0,5.0,68.18181818181819
9.0,8.0,5.0,72.72727272727273
1.0,8.0,6.0,72.72727272727273
3.0,8.0,6.0,68.18181818181819
5.0,8.0,6.0,68.18181818181819
7.0,8.0,6.0,86.36363636363636
9.0,8.0,6.0,81.81818181818181
1.0,8.0,7.0,72.72727272727273
3.0,8.0,7.0,63.63636363636363
5.0,8.0,7.0,68.18181818181819
7.0,8.0,7.0,72.72727272727273
9.0,8.0,7.0,63.63636363636363
1.0,8.0,8.0,72.72727272727273
3.0,8.0,8.0,63.63636363636363
5.0,8.0,8.0,63.63636363636363
7.0,8.0,8.0,59.09090909090909
9.0,8.0,8.0,63.63636363636363
1.0,8.0,9.0,68.18181818181819
3.0,8.0,9.0,54.54545454545455
5.0,8.0,9.0,63.63636363636363
7.0,8.0,9.0,59.09090909090909
9.0,8.0,9.0,63.63636363636363
1.0,8.0,10.0,72.72727272727273
3.0,8.0,10.0,59.09090909090909
5.0,8.0,10.0,54.54545454545455
7.0,8.0,10.0,59.09090909090909
9.0,8.0,10.0,59.09090909090909
1.0,8.0,11.0,63.63636363636363
3.0,8.0,11.0,59.09090909090909
5.0,8.0,11.0,63.63636363636363
7.0,8.0,11.0,45.45454545454545
9.0,8.0,11.0,50.0
1.0,8.0,12.0,50.0
3.0,8.0,12.0,40.90909090909091
5.0,8.0,12.0,54.54545454545455
7.0,8.0,12.0,54.54545454545455
9.0,8.0,12.0,50.0
1.0,8.0,13.0,77.27272727272727
3.0,8.0,13.0,63.63636363636363
5.0,8.0,13.0,59.09090909090909
7.0,8.0,13.0,63.63636363636363
9.0,8.0,13.0,54.54545454545455
1.0,8.0,14.0,72.72727272727273
