k,points,radius,akurasi
0.005,8.0,4.0,40.90909090909091
0.01,8.0,4.0,36.36363636363637
0.015,8.0,4.0,22.727272727272727
0.02,8.0,4.0,13.636363636363637
0.005,8.0,5.0,40.90909090909091
0.01,8.0,5.0,45.45454545454545
0.015,8.0,5.0,36.36363636363637
0.02,8.0,5.0,22.727272727272727
0.005,8.0,6.0,54.54545454545455
0.01,8.0,6.0,63.63636363636363
0.015,8.0,6.0,36.36363636363637
0.02,8.0,6.0,31.818181818181817
0.005,8.0,7.0,45.45454545454545
0.01,8.0,7.0,59.09090909090909
0.015,8.0,7.0,45.45454545454545
0.02,8.0,7.0,31.818181818181817
0.005,8.0,8.0,36.36363636363637
0.01,8.0,8.0,59.09090909090909
0.015,8.0,8.0,27.272727272727273
0.02,8.0,8.0,36.36363636363637
0.005,8.0,9.0,31.818181818181817
0.01,8.0,9.0,59.09090909090909
0.015,8.0,9.0,36.36363636363637
0.02,8.0,9.0,22.727272727272727
0.005,8.0,10.0,27.272727272727273
0.01,8.0,10.0,54.54545454545455
0.015,8.0,10.0,54.54545454545455
0.02,8.0,10.0,22.727272727272727
0.005,8.0,11.0,31.818181818181817
0.01,8.0,11.0,50.0
0.015,8.0,11.0,22.727272727272727
0.02,8.0,11.0,27.272727272727273
0.005,8.0,12.0,9.090909090909092
0.01,8.0,12.0,50.0
0.015,8.0,12.0,50.0
0.02,8.0,12.0,27.272727272727273
0.005,8.0,13.0,13.636363636363637
0.01,8.0,13.0,45.45454545454545
0.015,8.0,13.0,50.0
0.02,8.0,13.0,27.272727272727273
0.005,8.0,14.0,9.090909090909092
0.01,8.0,14.0,59.09090909090909
0.015,8.0,14.0,54.54545454545455
0.02,8.0,14.0,36.36363636363637
0.005,8.0,15.0,4.545454545454546
0.01,8.0,15.0,68.18181818181819
0.015,8.0,15.0,59.09090909090909
0.02,8.0,15.0,40.90909090909091
0.005,8.0,16.0,13.636363636363637
0.01,8.0,16.0,77.27272727272727
0.015,8.0,16.0,72.72727272727273
0.02,8.0,16.0,59.09090909090909
0.005,8.0,17.0,18.181818181818183
0.01,8.0,17.0,86.36363636363636
0.015,8.0,17.0,68.18181818181819
0.02,8.0,17.0,50.0
0.005,8.0,18.0,22.727272727272727
0.01,8.0,18.0,72.72727272727273
0.015,8.0,18.0,77.27272727272727
0.02,8.0,18.0,63.63636363636363
0.005,8.0,19.0,22.727272727272727
0.01,8.0,19.0,59.09090909090909
0.015,8.0,19.0,86.36363636363636
0.02,8.0,19.0,81.81818181818181
0.005,8.0,20.0,13.636363636363637
0.01,8.0,20.0,68.18181818181819
0.015,8.0,20.0,90.9090909090909
