k,points,radius,akurasi
1.0,8.0,4.0,76.47058823529412
3.0,8.0,4.0,70.58823529411765
5.0,8.0,4.0,64.70588235294117
7.0,8.0,4.0,64.70588235294117
9.0,8.0,4.0,70.58823529411765
1.0,8.0,5.0,82.3529411764706
3.0,8.0,5.0,76.47058823529412
5.0,8.0,5.0,70.58823529411765
7.0,8.0,5.0,70.58823529411765
9.0,8.0,5.0,70.58823529411765
1.0,8.0,6.0,82.3529411764706
3.0,8.0,6.0,76.47058823529412
5.0,8.0,6.0,70.58823529411765
7.0,8.0,6.0,70.58823529411765
9.0,8.0,6.0,70.58823529411765
1.0,8.0,7.0,76.47058823529412
3.0,8.0,7.0,76.47058823529412
5.0,8.0,7.0,70.58823529411765
7.0,8.0,7.0,70.58823529411765
9.0,8.0,7.0,70.58823529411765
1.0,8.0,8.0,76.47058823529412
3.0,8.0,8.0,76.47058823529412
5.0,8.0,8.0,70.58823529411765
7.0,8.0,8.0,70.58823529411765
9.0,8.0,8.0,70.58823529411765
1.0,8.0,9.0,76.47058823529412
3.0,8.0,9.0,76.47058823529412
5.0,8.0,9.0,70.58823529411765
7.0,8.0,9.0,70.58823529411765
9.0,8.0,9.0,70.58823529411765
1.0,8.0,10.0,76.47058823529412
3.0,8.0,10.0,76.47058823529412
5.0,8.0,10.0,70.58823529411765
7.0,8.0,10.0,70.58823529411765
9.0,8.0,10.0,76.47058823529412
1.0,8.0,11.0,76.47058823529412
3.0,8.0,11.0,76.47058823529412
5.0,8.0,11.0,70.58823529411765
7.0,8.0,11.0,76.47058823529412
9.0,8.0,11.0,70.58823529411765
1.0,8.0,12.0,76.47058823529412
3.0,8.0,12.0,76.47058823529412
5.0,8.0,12.0,70.58823529411765
7.0,8.0,12.0,76.47058823529412
9.0,8.0,12.0,76.47058823529412
1.0,8.0,13.0,76.47058823529412
3.0,8.0,13.0,76.47058823529412
5.0,8.0,13.0,70.58823529411765
7.0,8.0,13.0,70.58823529411765
9.0,8.0,13.0,70.58823529411765
1.0,8.0,14.0,82.3529411764706
3.0,8.0,14.0,76.47058823529412
5.0,8.0,14.0,76.47058823529412
7.0,8.0,14.0,70.58823529411765
9.0,8.0,14.0,70.58823529411765
1.0,8.0,15.0,82.3529411764706
3.0,8.0,15.0,76.47058823529412
5.0,8.0,15.0,76.47058823529412
7.0,8.0,15.0,76.47058823529412
9.0,8.0,15.0,70.58823529411765
1.0,8.0,16.0,82.3529411764706
3.0,8.0,16.0,76.47058823529412
5.0,8.0,16.0,76.47058823529412
7.0,8.0,16.0,76.47058823529412
9.0,8.0,16.0,52.94117647058823
1.0,8.0,17.0,82.3529411764706
3.0,8.0,17.0,76.47058823529412
5.0,8.0,17.0,76.47058823529412
7.0,8.0,17.0,76.47058823529412
9.0,8.0,17.0,64.70588235294117
1.0,8.0,18.0,82.3529411764706
3.0,8.0,18.0,76.47058823529412
5.0,8.0,18.0,76.47058823529412
7.0,8.0,18.0,70.58823529411765
9.0,8.0,18.0,70.58823529411765
1.0,8.0,19.0,82.3529411764706
3.0,8.0,19.0,76.47058823529412
5.0,8.0,19.0,76.47058823529412
7.0,8.0,19.0,70.58823529411765
9.0,8.0,19.0,64.70588235294117
1.0,8.0,20.0,82.3529411764706
3.0,8.0,20.0,76.47058823529412
5.0,8.0,20.0,76.47058823529412
7.0,8.0,20.0,70.58823529411765
9.0,8.0,20.0,70.58823529411765
1.0,12.0,4.0,76.47058823529412
3.0,12.0,4.0,82.3529411764706
5.0,12.0,4.0,76.47058823529412
7.0,12.0,4.0,70.58823529411765
9.0,12.0,4.0,64.70588235294117
1.0,12.0,5.0,82.3529411764706
3.0,12.0,5.0,76.47058823529412
5.0,12.0,5.0,70.58823529411765
7.0,12.0,5.0,70.58823529411765
9.0,12.0,5.0,64.70588235294117
1.0,12.0,6.0,82.3529411764706
3.0,12.0,6.0,76.47058823529412
5.0,12.0,6.0,70.58823529411765
7.0,12.0,6.0,64.70588235294117
9.0,12.0,6.0,64.70588235294117
